,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,year,month
184,5185,Disney Infinity 2.0: Marvel Super Heroes,XOne,Avalanche Software,Disney Interactive Studios,,,0.55,0.35,0.15,,0.05,2014,09
185,5186,Catz,DS,Powerhead Games,Ubisoft,,,0.55,0.49,0.02,,0.04,2006,11
186,5187,Ratchet & Clank: Quest for Booty,PS3,Insomniac Games,Sony Computer Entertainment,7.6,,0.55,0.0,0.52,,0.03,2008,09
187,5188,Jump Super Stars,DS,Ganbarion,Nintendo,,,0.55,,,0.55,,2005,08
188,5189,Inazuma Eleven GO: Dark / Shine,3DS,Level 5,Level 5,,,0.55,,0.07,0.48,0.0,2011,12
189,5190,Poochy & Yoshi's Woolly World,3DS,Good-Feel,Nintendo,7.5,,0.55,0.2,0.16,0.17,0.03,2017,02
190,5191,MX vs. ATV: Alive,X360,Rainbow Studios,THQ,6.9,,0.55,0.37,0.13,,0.05,2011,05
191,5192,The Activision Decathlon,2600,Activision,Activision,,,0.55,0.52,0.03,,0.01,1983,01
192,5193,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,Taito Corporation,D3 Publisher,,,0.55,0.31,0.21,,0.04,2001,09
193,5194,Fighting Force 2,PS,Core Design Ltd.,Eidos Interactive,,,0.55,0.31,0.21,,0.04,1999,11
194,5195,Sakura Wars,SAT,Overworks,Sega,,,0.55,,,0.55,,1996,09
195,5196,Extermination,PS2,Deep Space,Sony Computer Entertainment,,,0.55,0.21,0.16,0.12,0.05,2001,07
196,5197,Batman: Vengeance,PS2,Ubisoft Montreal,Ubisoft,7.1,,0.55,0.27,0.21,,0.07,2001,10
197,5198,Disgaea 3: Absence of Justice    Read the review,PS3,Nippon Ichi Software,NIS America,7.8,,0.55,0.36,0.03,0.11,0.05,2008,08
198,5199,Rapala Tournament Fishing!,Wii,Magic Wand Productions,Activision,,,0.55,0.51,0.0,,0.04,2006,11
199,5200,Sniper Elite 4,PS4,Rebellion Developments,Rebellion Developments,,,0.55,0.21,0.25,,0.09,2017,02
200,5201,Secret Agent Clank(US sales)    Read the review,PSP,High Impact Games,Sony Computer Entertainment,7.2,,0.55,0.33,0.22,,,2008,06
201,5202,Madagascar: Escape 2 Africa,Wii,Toys for Bob,Activision,,,0.55,0.31,0.18,,0.06,2008,11
202,5203,Derby Stallion 04,PS2,ParityBit,Enterbrain,,,0.55,,,0.55,,2004,04
203,5204,NBA 2K8,PS3,Visual Concepts,2K Sports,,,0.55,0.5,0.01,,0.05,2007,10
204,5205,Purr Pals,DS,inXile,Crave Entertainment,,,0.55,0.18,0.35,,0.02,2007,03
205,5206,Skylanders: SuperChargers,X360,Vicarious Visions,Activision,,,0.55,0.35,0.15,,0.05,2015,09
206,5207,Tony Hawk's Pro Skater 3,XB,Neversoft Entertainment,Activision,,,0.55,0.34,0.18,,0.02,2002,03
207,5208,Mega Man Zero,GBA,Inti Creates,Capcom,,,0.55,0.22,0.08,0.24,0.01,2002,09
208,5209,Lara Croft and the Guardian of Light,PC,Crystal Dynamics,Square Enix,8.3,,,,,,,2010,09
209,5210,Contender 2,PS,Bam Entertainment,BAM! Entertainment,,,0.55,0.31,0.21,,0.04,2000,12
210,5211,Star Wars: Dark Forces,PS,LucasArts,LucasArts,,,0.55,0.31,0.21,,0.04,1996,11
211,5212,Grease,Wii,Zoe Mode,505 Games,,,0.55,0.26,0.24,,0.05,2010,08
212,5213,General,Series,Strategic Simulations,Unknown,,,,,,,,,
213,5214,Hatsune Miku: Project Diva Future Tone,PS4,Sega,Sega,,,,,,,,2017,01
214,5215,JoJo's Bizarre Adventure: All Star Battle,PS3,CyberConnect2,Namco Bandai Games,,,0.58,0.05,0.02,0.5,0.01,2014,04
215,5216,Lumines: Puzzle Fusion    Read the review,PSP,Q Entertainment,Ubisoft,9.1,,1.11,0.52,0.35,,0.23,2005,03
216,5217,Medieval II: Total War,PC,The Creative Assembly,Sega,8.8,,0.11,,0.1,,0.01,2006,11
217,5218,Okami,All,Clover Studio,Unknown,,,,,,,,,
218,5219,Toukiden: The Age of Demons,All,Omega Force,Unknown,,,,,,,,,
219,5220,Yakuza: Dead Souls,PS3,Sega,Sega,7.0,,0.61,0.09,0.06,0.42,0.03,2012,03
220,5221,Tiger Woods PGA Tour 13,PS3,EA Tiburon,Electronic Arts,,,0.55,0.24,0.22,,0.08,2012,03
221,5222,Legends of WrestleMania    Read the review,PS3,Yuke's,THQ,,,0.55,0.3,0.17,0.0,0.07,2009,03
222,5223,SD Gundam G Generation Zero,PS,Bandai,Bandai,,,0.55,,,0.51,0.04,1999,08
223,5224,Wolfenstein II: The New Colossus,PC,MachineGames,Bethesda Softworks,,,0.1,0.03,0.07,,0.01,2017,10
